Full Name,Short Name
Jiba Pharmacy                                               ,Jiba PHAR                                               
Mojumder Pharmacy                                           ,Mojumder PHAR                                           
Manosy Clinic                                               ,Manosy CLC                                               
Shohan Pharmacy                                             ,Shohan PHAR                                             
Sonali Pharmacy                                             ,Sonali PHAR                                             
Emam Medical Store                                          ,Emam MED STR                                          
Shohel Medical Hall                                         ,Shohel MED                                           
Balaka medical Hall                                         ,Balaka medical                                           
Paul Pharmacy                                               ,Paul PHAR                                               
Sattar Pharmacy                                             ,Sattar PHAR                                             
Shovon Pharmacy                                             ,Shovon PHAR                                             
Moushumi Pharmacy                                           ,Moushumi PHAR                                           
Rohima Pharmacy                                             ,Rohima PHAR                                             
Taj Medical Hall                                            ,Taj MED                                              
Sohag Pharmacy                                              ,Sohag PHAR                                              
Mayer Doya Pharmacy                                         ,Mayer Doya PHAR                                         
Paul Clinic                                                 ,Paul CLC                                                 
Urmi Medical Hall                                           ,Urmi MED                                             
Kobita Drug House                                           ,Kobita DRG House                                           
Shaikh Pharmacy                                             ,Shaikh PHAR                                             
Kazol Pharmacy                                              ,Kazol PHAR                                              
Islam Sha Pharmacy                                          ,Islam Sha PHAR                                          
Rida Medical Hall                                           ,Rida MED                                             
Tanny Pharmacy                                              ,Tanny PHAR                                              
Porag Pharmacy                                              ,Porag PHAR                                              
Maa Surgical                                                ,Maa Surgical                                                
Mollah Medical                                              ,Mollah MED                                              
Maa Pharmacy                                                ,Maa PHAR                                                
Bismillah Pharmacy                                          ,Bismillah PHAR                                          
Nasima Pharmacy                                             ,Nasima PHAR                                             
Surakkha Pharmacy                                           ,Surakkha PHAR                                           
Mohabbat Pharmacy                                           ,Mohabbat PHAR                                           
Maa Medical                                                 ,Maa MED                                                 
Tawsif Pharmacy                                             ,Tawsif PHAR                                             
Tumpa Medical                                               ,Tumpa MED                                               
Kundu Pharmacy                                              ,Kundu PHAR                                              
Sheikh Pharmacy                                             ,Sheikh PHAR                                             
Hamid Pharmacy                                              ,Hamid PHAR                                              
Roy Medical                                                 ,Roy MED                                                 
Shahorjan Pharmacy                                          ,Shahorjan PHAR                                          
Seba Niketon                                                ,Seba Niketon                                                
M S Bhai Bhai Pharmacy                                      ,M S Bhai Bhai PHAR                                      
Tonushree Pharmacy                                          ,Tonushree PHAR                                          
Mayer Dua Model Pharmacy                                    ,Mayer Dua   PHAR                                    
M H B Pharmacy                                              ,M H B PHAR                                              
Sadik Pharmacy                                              ,Sadik PHAR                                              
Popular Clinic                                              ,Popular CLC                                              
Zidny Medicine Corner                                       ,Zidny MDCN CRNR                                       
Sultan Medical                                              ,Sultan MED                                              
Seba Niketon pharmacy                                       ,Seba Niketon pharmacy                                       
Lebutola Pharmacy                                           ,Lebutola PHAR                                           
Ma Medical Hall                                             ,Ma MED                                               
Aryan Pharmacy                                              ,Aryan PHAR                                              
New Bhai Bhai Pharmacy                                      ,New Bhai Bhai PHAR                                      
Mayer Doya Pharmacy                                         ,Mayer Doya PHAR                                         
Janani Pharmacy                                             ,Janani PHAR                                             
Rezia Pharmacy                                              ,Rezia PHAR                                              
Tashin Pharmacy                                             ,Tashin PHAR                                             
Mukti Pharmacy                                              ,Mukti PHAR                                              
Zahid Medical                                               ,Zahid MED                                               
Maa Pharmacy                                                ,Maa PHAR                                                
Mrinalini Pharmacy                                          , nalini PHAR                                          
S & D Pharmacy                                              ,S & D PHAR                                              
Sarder Pharmacy                                             ,Sarder PHAR                                             
Medicine Corner                                             ,MDCN CRNR                                             
Tazin Pharmacy                                              ,Tazin PHAR                                              
Bristy Medical Hall                                         ,Bristy MED                                           
Laskar Pharmacy                                             ,Laskar PHAR                                             
Cheap Medical                                               ,Cheap MED                                               
Bismillah Pharmacy                                          ,Bismillah PHAR                                          
Mithila Pharmacy                                            ,Mithila PHAR                                            
Saroni Clinic                                               ,Saroni CLC                                               
